,Name,Price,Discount,Worthy,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
231,BIOMUTANT Standard - PC [Online Game Code],59.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,5,1,0,25,5,2021,6,3,0,1,0,"A NEW TAKE ON 3rd PERSON COMBAT The martial arts style combat system allows you maximum freedom of movement and agility while mixing shooting, melee and powers from your mutations. Learning new Wung-Fu combat forms through progression and learning from masters you’ll meet, will constantly add to your choices and make sure combat never gets old.
EVOLVE YOUR GAME-PLAY You’ll be able to re-code your genetic structure to change the way you look and play. This will of course affect your attributes and in addition to this, exposure to bio-contamination in the world will lead to mutations like the Turtleform and Mucus Bubble, while exposure to radioactivity found in bunkers from the old world will affect your mind and unlock psi-mutations like telekinesis, levitation and more.
NEXT LEVEL OF CRAFTING You are totally free when crafting weapons. Mix and match parts to create your own unique 1H or 2H slash and crush weapons. Revolvers, rifles and shotguns and add modifications like cork-screws and battery-powered chainsaw modules to bio-contaminated sludge vials adding to your combat arsenal. There are even characters you’ll meet that’ll craft cool stuff for you, like bionic wings, a jump-pack and even let you modify your Automaton - the scrap-toy sidekick!
SURVIVE IN A VIBRANT OPEN WORLD You are free to explore the world and what lies beneath its surface, by foot, mech, jet-ski, air-balloon or area unique mounts. Explore the dying wildland, the tunnels and bunker networks of the underworld, and find your way up the mountains or out in the archipelago. There are lots of discoveries to be made, mysteries to unravel, creatures to confront and weird characters to meet in this vibrant and colorful world.
AN UNUSUAL STORY WITH AN UNUSUAL END Your actions play a major part in the unfolding of a story where End is coming to the New World. A plague is ruining the land and the Tree-of-Life is bleeding death from its roots. The Tribes stand divided, in need of someone strong enough to unite them or bring them all down... You are guided through the world by a Storyteller that narrates every step of your journey, but it’s your actions and choices that’ll decide how your story of survival ends.",5,370
233,Collection of SaGa: Final Fantasy Legend - PC [Online Game Code],19.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,3,3,1,21,10,2021,6,9,0,1,0,"High Speed Mode: Change your movement speed and the message speed to high-speed.
Screen settings: Freely switch the screen resolution and display settings between “horizontal” or “vertical” mode. 4K resolution is also supported.
Switch languages: Switch between Japanese and English.
Switch to Japanese and play SaGa, SaGa 2 and SaGa 3, the versions of the games released outside of Japan.
These titles have largely been faithfully replicated in their original forms, but several changes have been made to meet evolving cultural and social norms.",5,84
234,Narco Terror [Download],9.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,26,1,0,25,6,2013,1,3,0,1,0,"12 challenging missions
An exhilarating blast to the 80s
Customise and Upgrade your weapons
Drop in / drop out Multiplayer (offline/online)
Diverse over-the top Arcade shooter action",5,27
235,Far Cry 4 Overrun [Online Game Code],4.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,1,1,0,10,2,2015,4,3,0,1,0,0,0,0
238,The Crew DLC - Raid Car Pack [Online Game Code],6.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,1,14,0,21,4,2015,4,3,0,1,0,0,0,0
241,Wasteland 3 - Standard - PC [Digital Code],59.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,26,1,1,31,7,2020,5,0,0,1,0,"Wasteland 3 is a tactical RPG with explosive and challenging turn-based combat and a deep story full of game-changing choices, as well as dark, twisted humour.
Start from scratch as you assemble a squad of Desert Rangers to survive in the savage frozen wastes of post-apocalyptic Colorado.
A party-based roleplaying game with a focus on a complex story, reactivity of the characters and world, and strategic combat
Features a deep and engaging story, utilizing a new dynamic dialogue system and a full voicer-over, immersing fans of the series and newcomers alike.
Player vehicles, environmental dangers and a revamped, more fluid action system are some of the new features evolving on wasteland 2's deep tactical turn-based combat and unique encounter design.
A detailed character creation system and various perks and abilities allow for deep customization of your squad of up to six rangers, geared to your playstyle.
Winner: best RPG - games com award 2019.",7,154
242,Schrödinger's Cat and the Raiders of the Lost Quark [Online Game Code],9.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,100,1,0,23,9,2014,17,1,0,1,0,"7 frustrating environments
9 overly chatty and annoying characters
11 Particle-Based Baddies
14 Quark Combos
Nonsensical task-based gameplay",5,18
246,Crusader Kings II: Songs of Faith DLC [Online Game Code],1.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,18,4,0,17,4,2012,1,1,0,1,0,"You can download your game or software order an unlimited number of times for personal use.
Please check the system requirements to verify this game works with your computer and/or operating system before purchase.
You can also shop for digital games on your mobile device.",3,45
251,Aquanox Deep Descent Standard Edition - PC [Online Game Code],29.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,5,1,0,16,10,2020,9,9,0,1,0,"Fight - Action-packed vehicle shooter combat that supports a wide variety of play styles
Co-op - 4 player drop-in co-op, with four unique pilots who are all involved in the game story
Customize - Choose and upgrade your ships, making them fit your preferred playing style
Explore - Discover the deepest corners of the ocean
VPP - Classic multiplayer modes like Deathmatch and Team Deathmatch Dogfighting",5,66
256,"Warhammer 40,000 : Dawn of War II - Retribution - Space Marines Race Pack DLC [Online Game Code]",2.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,13,4,0,4,3,2011,1,1,0,1,0,"HOLY AXE OF THE HONOR GUARD: This unique two handed power axe increases your defense against enemy attacks.
ARMOR OF THE MARTYR: Attacks upon Diomedes heal allied units around him.
CHANT OF THE RIGHTEOUS: Enemies attacking Diomedes lower the cooldown timer on his abilities.
HELM OF THE VETERAN: Increases the health and armor of the character that equips it.",4,59
259,Black The Fall: Collector's Edition [Online Game Code],17.98,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,108,5,0,10,7,2017,4,3,0,1,0,"Unravel the puzzles buried within the oppressive atmosphere of a dystopian dictatorship
Harness the power of a stolen designator tool to manipulate both man and machine
Befriend a lonely lost robot and earn its loyal companionship
Take your shot at overthrowing a Communist State inspired by real world events",4,49
264,Super Dungeon Bros [Online Game Code],19.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,5,1,0,1,11,2016,9,0,0,1,0,"Play with up to 4 friends or venture into the deepest depths of Rökheim alone in scary single player.
Raid the dungeons of Rökheim in on or offline co-op multiplayer with cross platform play between Xbox One & Windows 10 or PS4 and PC/Mac.
Compete with friends from around the world in the deadly daily dungeon or master the way of the wicked weekly dungeon to climb to the peak of the global leaderboards.
Epic boss battles and a cast of fiendish foes compliment a totally rocking soundtrack!",4,88
267,Stealth Bastard Deluxe [Online Game Code],9.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,112,1,0,1,5,2013,0,0,0,1,0,"80 sneaktastic levels
Real-time light and shadow system
Fully-featured level creator
Five types of special equipment
Worldwide leaderboards",5,18
269,King's Bounty: Platinum Edition (The Legend & Armored Princess & Crossworlds) [Download],19.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,61,3,0,17,9,2010,1,1,0,1,0,"Classic real-time (adventure) meets turn-based (battles) gameplay.
Rich fantasy setting, storyline with a lot of twists and an unexpected ending.
Huge game worlds with dozens locations and battlefields -- both on the surface and in the dungeons.
The game world isn't static - enemies don't just sit and wait for the hero to arrive, they pursue their own aims and try to get into the player's way",4,67
272,Agon - The Lost Sword of Toledo [Download],9.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,63,2,0,19,11,2015,1,5,0,1,0,"Intriguing plot from an award-winning story-teller, Exploration of an authentic, traditional environment
Challenging, story-driven puzzles, Re-playable ancient board game
Amazing graphics, Engaging characters and excellent voice acting
Rich atmospheric sound, authentic music, Suitable for all from 10 to 80++",4,39
273,Elex II - PC,49.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,5,3,0,0,0,0,4,0,2,1,0,"Explore the planet of Magellan with unprecedented freedom, using your trusted jetpack to traverse the map and even fly!
Interact with a lived-in world full of unique NPCs who will remember what you've done and react accordingly
Npcs will join or leave your group depending on how you behave and are able to be killed, which will all have an effect on the story
Engage in fluid close and ranged combat with a massively improved control system
Experience a story where your actions have consequences, immersing you in a world of moral decisions",5,93
280,Saints Row IV Game of the Century Edition [Online Game Code],19.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,26,1,0,15,7,2014,6,5,0,1,0,"Delve into an arsenal of alien weaponry and technology that will turn each Saint into an ultimate entity of destruction. Utilize out-of-this-world superpowers to fight all the way to the top.
Use superpowers and leap over buildings, outrun the fastest sports cars, or send enemies flying with telekinesis. Save the world, Saints Style.",2,53
282,Watch Dogs: Legion Standard - PC [Online Game Code],59.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,1,1,1,2,11,2021,17,0,0,1,0,"Recruit and play as anyone from London. Everyone you see has a unique backstory, personality, and skill set for unique situations
Hack armed drones, deploy spider-bots, and take down enemies using an Augmented Reality Cloak
Explore a massive urban open world featuring London’s many iconic landmarks and fun side activities
Team up with your friends as you complete co-op missions and unique game modes
Upgrade to the Gold Edition or Ultimate Edition for access to the season pass and more",5,80
284,Dungeon Encounters: Standard - PC [Online Game Code],29.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,3,3,1,14,10,2021,5,0,0,1,0,"Events: By uncovering and visiting spaces with white numbers, you may obtain items, unlock and change abilities, restore your party to health, find hidden merchants, and much more. Battle encounters, marked with black numbers, are hidden throughout the map. However, they can be revealed with a special ability, allowing you to choose when and where to engage your enemies. Previously discovered events will be recorded in the Event Log, a valuable resource that allows you to reference past experiences to tackle future challenges.
Battles: Test your strategies in thrilling battles, featuring the Active Time Battle (ATB) system made famous by the FINAL FANTASY series. Under the direction of Ito Hiroyuki, creator of the ATB system, battles play out in real-time, utilizing a polished and refined iteration of this classic design, which promises exciting, challenging combat.
Map: The blank map awaits you, and by exploring and investigating every tile on each level, you will be awarded ability points. Navigate obstacles, including secret passages and hidden traps, and conquer the dungeon!",3,169
285,Prison Escape - Hidden Object Game [Download],1.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,28,5,0,18,3,2014,1,1,0,1,0,"10 Fun Levels
Pinch to Zoom
40 Objects Per Level
400 Hidden Objects to Find
Level Map will Save Progress",5,20
286,Overclocked: A History of Silence [Online Game Code],14.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,5,2,0,7,4,2008,2,2,0,1,0,"Experience Overclocked from various perspectives as you play as six different characters throughout the game
Explore 45 diverse locations with densely animated pre-rendered settings
Meet and interact with a cast of intriguing characters, each with their own distinct personalities",3,39
287,Voice of Cards: The Isle Dragon Roars Deluxe - PC [Online Game Code],37.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,3,3,0,28,10,2021,17,15,0,1,0,"Deluxe Edition also includes a set containing 7 DLC items for Voice of Cards: The Isle Dragon Roars, that can change the design of in-game components such as cards and avatars to be styled after other YOKO TARO titles as well as an item that can change the appearance of all characters and enemies to a pixel art style.
From the creative minds of YOKO TARO and the NieR team
Classic turn-based combat
A unique RPG experience shown through the medium of cards
A haunting and atmospheric soundscape from composer Keiichi Okabe",5,92
295,10 Second Ninja X [Online Game Code],9.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,112,1,0,5,3,2014,2,9,0,1,0,"100 thumb blistering, mind bending levels over 11 game worlds
11 “Marathon Modes” with back to back ninja madness
Player ghosts and unlockable ghost hints for the trickier levels!
Explore the magnificent Greatbeard's ship in the retro styled hub.
Online leaderboards for every level!",5,44
307,NecroVision [Online Game Code],4.99,5.0,-1,-1.0,-1,-1,-1,-1,-1,-1,61,1,0,25,5,2009,0,0,0,1,0,0,0,0
318,EA Play Pro Membership - 1 Month - PC [Online Game Code],15.0,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,0,2,2,12,12,2021,5,0,0,1,0,"Here's what you get with EA Play Pro Membership:
Score unlimited access to all of Electronic Arts' best games and brand new releases.
Play the best editions of our top games with all the added extras including in-game rewards, seasons passes and premium player content.
Get early access to select new games before they're released to the public.
Save on EA digital purchases including game downloads, seasons passes, points packs, and DLC.",5,72
341,Sleeping Dogs The Red Envelope Pack [Online Game Code],2.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,3,1,0,21,8,2012,1,3,0,1,0,0,0,0
347,SpellForce 3: Fallen God Standard - PC [Online Game Code],24.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,5,4,0,3,11,2020,4,3,0,1,0,"Your dwindling, nomadic tribe of trolls has just one goal: survival.
Plagued by vicious poachers for your precious tusks and weakened by disease, hope is almost lost - until an enigmatic Elven stranger offers you, the young chieftain Akrog, a path to salvation: you must resurrect a fallen",2,48
355,PGA TOUR 2K21: Baller Edition - PC [Online Game Code],32.0,47.99,-1,-1.0,-1,-1,-1,-1,-1,-1,6,9,0,14,10,2021,5,0,0,1,0,"The PGA TOUR 2K21 Baller Edition includes all paid content except for NBA, FootJoy, and Titleist gear
SWING WITH THE SWAG: Become a force on the PGA TOUR using clubs from premium brands such as Callaway, Bridgestone, TaylorMade, and more.
UP YOUR MyPLAYER FIT GAME: Have your MyPLAYER turn heads on the course with apparel from the coolest brands like adidas, Puma, Goodr, and more.
GET WACKY ON THE COURSE: Have your buddies LOLing when they see you try out wild putters shaped like a banana, taco, hot dog, and fish!",4,91
378,The Typing of the Dead : Overkill - Filth of the Dead DLC [Online Game Code],2.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,13,8,0,16,12,2013,4,3,0,1,0,"The Filth of the Dead DLC replaces all of the words and phrases in Typing of the Dead: OVERKILL with terrible innuendo, outrageous insults and even some slurs in Polish.
If you’ve ever wanted to type phrases like ‘Poo protest’ to repel hordes of flesh eating mutants, this is the DLC for you.",2,53
384,Watch Dogs: Legion Gold - PC [Online Game Code],99.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,1,1,1,2,11,2021,5,0,0,1,0,"Build a resistance from anyone in the world as you fight to take back a near-future London facing its downfall. Recipient of over 65 E3 awards and nominations
Recruit and play as anyone from London. Everyone you see has a unique backstory, personality, and skills
Hack armed drones, deploy spider-bots, and take down enemies using an Augmented Reality Cloak
Explore a massive urban open world featuring London’s many iconic landmarks and fun side activities",4,74
407,Othercide Standard - PC [Online Game Code],34.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,42,4,0,28,7,2020,4,3,0,1,0,"As Humanity’s last hope, lead your army to combat in an intricate dance of spectacular actions and counters, using an original Dynamic Timeline System, and face fearsome bosses in epic battles.
Lead, evolve and sacrifice your army of Daughters
Outsmart nightmarish creatures in a stunning Tactical RPG
Endless combat possibilities with the Dynamic Timeline System
A deep, complex narrative",5,59
415,Sacred 3: Orc of Thrones DLC [Online Game Code],2.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,26,3,0,30,8,2014,1,5,0,1,0,0,0,0
451,Madden NFL 22 - 2200 Points - PC [Online Game Code],20.0,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,0,9,0,20,8,2021,5,0,0,1,0,"PLAY - Hone your skills with Ultimate Team Challenges or play online to showcase your skills.
EARN - As you play, earn rewards to finesse your depth chart. You can also work the Auction House to acquire specific players improve your roster.
UPGRADE - Use rewards to build and upgrade your Ultimate Team. Comprised of current NFL superstars, Hall of Fame legends, and more, customize your fantasy roster continue to upgrade all season.",3,73
506,FIFA 20 Ultimate Team Points 1600 [Online Game Code],14.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,0,9,0,11,9,2019,5,0,0,1,0,"Build your dream squad and be part of the most popular mode in FIFA.
Add some of the biggest football legends to your squad.",2,24
512,Soda Pipes A Refreshing Puzzle Game (Jewel Case) - PC,14.96,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,20,11,0,0,0,0,7,0,1,1,0,A refreshing puzzle game!,1,4
515,My Hero One's Justice 2 Season Pass - PC [Online Game Code],19.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,19,1,0,12,3,2020,4,3,0,1,0,"Based on the hit anime series that features fan favorite characters like Deku, All Might, Shigaraki, and many more. Play through iconic and memorable scenes from the anime. Pull off explosive quirks with all of your favorite characters. Build your dream team with 40 playable characters.
Season Pass",2,48
521,Knockout City Standard - PC [Online Game Code],20.0,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,0,1,11,30,5,2021,5,0,0,1,0,"Rule the city through lightning-fast multiplayer matches featuring mind-blowing dodgeball mechanics.
Assemble an All-Star dodgeball Crew with your friends for multiplayer matches in a seamless cross-play experience!
Show off your status and unique look through character and Crew designs with expansive character creation options.
Battle it out with other Crews across dynamic maps all over the city. Each map’s special features make every match an intense, unexpected experience.
It’s easy to pick up and play thanks to familiar controls, but practice is key to becoming a champion.",5,87
522,Vegas Casino Games Volume 2: Card Games for Palm OS - PC/Mac,9.95,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,60,12,0,0,0,0,10,11,1,1,0,0,0,0
543,MOUNT & BLADE Medieval Strategy PC Game - Free-form sandbox gameplay Breathtaking horseback combat,8.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,62,4,0,0,0,0,2,0,2,1,0,"Be a merchant, a mercenary, a knight or a lord and interact with 100's of characters
Breathtaking horseback combat
Highly advanced and intuitive sword-fighting system",3,25
585,The Wizard's Pen,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,48,5,0,0,0,0,8,0,1,1,0,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
From the makers of Bejeweled
A magical seek and solve game
Spellbinding Hidden Object Fun",7,38
592,Age of Empires III (Gold Edition),25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,11,4,0,0,0,0,17,0,3,2,0,0,0,0
608,Bravely Default II: Standard - PC [Online Game Code],59.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,98,3,0,2,9,2021,5,0,0,1,0,"Meet the Heroes of Light: Follow the story of a young sailor as he sets out on a grand adventure and meets plenty of friends and foes along the way.
Explore a new world: Discover the mysterious continent of Excillant as you search for the four elemental crystals.
The Brave and Default battle systems returns: Use the Brave command to spend Brave Points and string together up to four actions in a single turn, or use the Default command to bide your time…
Build your own customized team: Defeat bosses to acquire character jobs, each with their own set of distinct abilities. The more you learn, the more powerful you become!
Travel the world in search of the four Crystals with the Heroes of Light
Striking visuals bring detailed scenery and character to sprawling environments
Balance risk and reward in turn-based battles with the returning Brave and Default battle system",7,150
619,Angry Brick Breaker 3D - Ball Block and Paddle Ultimate Brick Breaking Game [Download],0.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,112,1,0,21,11,2013,1,1,0,1,0,"8 unique levels with Huge Block Tree Towers
Lasers, Rockets and Nuke
Point Collection and Bonus
Various Power-ups (like Fire Ball, Bigger Ball, Weapon Reloads, etc)",4,26
624,Comanche Standard - PC [Online Game Code],19.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,5,1,3,26,8,2021,5,0,0,1,0,"Fight in the evolving single player campaign and make a difference in a conflict of global proportions.
Complete different objectives, earn medals for special tasks, and learn about Tellus Task Force's world, the part of IJTF. Each medal provides its challenge, so prepare to test your skills!
Compete with other Comanche players from all around the world in explosive team-based multiplayer modes!",3,62
634,Compass Games Fulda Gap: The Battle for The Center,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,112,20,0,0,0,0,0,0,0,0,1,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Complexity: Medium-High
1 Turn = 2 Hours / 500 Meters/Hex
1 or 2 Players | Ages 14+ | 2-50 Hours Playing Time
Suitability for Solitaire = High",8,50
635,Dungeon of the Endless - Crystal Edition [Online Game Code],11.99,5.85,-1,-1.0,-1,-1,-1,-1,-1,-1,13,1,0,27,10,2014,17,15,0,1,0,"Play Dungeon of the Endless on PC and Mac.
Adds “The Library” spaceship that unlocks a new mode for the game.",2,21
641,The Agency of Anomalies 2 Game Pack CINDERSTONE ORPHANAGE + LAST PERFORMANCE Hidden Object PC Game,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,8,2,0,0,0,0,0,0,0,1,0,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
This refurbished product is tested and certified to look and work like new. The refurbishing process includes functionality testing, basic cleaning, inspection, and repackaging. The product ships with all relevant accessories, and may arrive in a generic box",5,61
653,Watch Dogs: Legion Deluxe - PC [Online Game Code],69.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,1,1,1,2,11,2021,17,0,0,1,0,"Build a resistance from virtually anyone you see as you hack, infiltrate, and fight to take back a near-future London that is facing its downfall. Welcome to the Resistance
Recruit and play as anyone in the city. Everyone you see has a unique backstory, personality, and skill set
Hack armed droneTake the resistance one step further and fight with your friends in new missions in Online mode.s, deploy spider-bots, and take down enemies using an Augmented Reality Cloak",3,78
661,Vampire: The Masquerade - Bloodlines 2: Blood Moon Edition [Online Game Code],89.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,18,3,0,31,12,2022,7,0,0,1,0,"Pre-Order Vampire: The Masquerade - Bloodlines 2 today for exclusive early access to the First Blood Pack, delivered at Day 1.
With the Bloodlines 2: Unsanctioned Blood Pack, call back to another, older Unsanctioned vampire's journey through the City of Angels.
Strange beings have ventured into Seattle, and threaten the Masquerade. Expand your Vampire: The Masquerade - Bloodlines 2 story into the Season of the Wolf.
Season of the Wolf includes two Story Packs which will take you deeper into the underbelly of Seattle and introduce some of the more fantastical denizens from the World of Darkness. Season of the Wolf also includes one major Expansion in which the vampires' greatest enemy enters Seattle.",4,114
673,FLIGHT DECK 6 (WIN 2000XPVISTAWIN 7),25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,112,14,0,0,0,0,8,2,1,1,0,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Takeoff and land from a moving carrier surface
This is an update Program for use with Flight Simulator X And Flight Simulator 2004. Not a stand-alone program!",6,50
674,Fallout 3 Game of the Year Edition for PC,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,12,3,0,0,0,0,17,0,5,1,0,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
FALLOUT 3: GAME OF THE YEAR EDITION",5,30
